T,training_seed,evaluation_seed,method,n,n_design_replicates,design_replicates_per_system,design_replication_note,terminal_eig_mean,terminal_eig_std,ci95_low,ci95_high,seconds,offline_training_or_calibration_seconds,training_time_seconds,online_seconds_per_rollout,n_unique_sequences,eval_seed,timing_scope
3,101,1005,random,512,16384,32,expected performance averaged over randomized designs,3.7742809261887436,1.2163626415613418,3.668918887840568,3.8796429645369193,7.1238854200346395,0.0,0.0,0.0004348074597189111,12572,1005,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,202,1001,dad_eig,512,512,1,one deterministic design per held-out system,6.833355576121379,0.2480428558185223,6.811869959913045,6.8548411923297135,2.6574713450390846,1199.8118668339448,1199.8118668339448,0.005190373720779462,22,1001,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,202,1001,rl_sboed_eig,512,512,1,one deterministic design per held-out system,6.846819583832598,0.23539095623566728,6.826429882513031,6.867209285152166,2.425513145979494,1039.950719287037,1039.950719287037,0.004737330363241199,29,1001,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,202,1001,step_dad,512,512,1,one deterministic design per held-out system,6.830972098928023,0.2527580226366486,6.809078052231827,6.852866145624219,3251.585498614004,1199.8118668339448,1199.8118668339448,6.350752926980476,81,1001,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,202,1001,myopic_delta_h,512,512,1,one deterministic design per held-out system,6.731367093918779,0.35520442275050845,6.700599080554572,6.762135107282986,3.24446812691167,0.0,0.0,0.006336851810374355,462,1001,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,202,1001,fixed_open_loop,512,512,1,one deterministic design per held-out system,6.295238930488074,0.7017085122392276,6.23445653167904,6.356021329297107,0.20110926101915538,0.07339554105419666,0.07339554105419666,0.00039279152542803786,1,1001,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,202,1001,random,512,16384,32,expected performance averaged over randomized designs,3.761925589902823,1.2184282512001012,3.656384627248248,3.8674665525573984,7.316806038026698,0.0,0.0,0.00044658239978190295,12508,1001,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,202,1002,dad_eig,512,512,1,one deterministic design per held-out system,6.833024433548777,0.2445607436143762,6.811840439921613,6.854208427175942,2.6586998909479007,1199.8118668339448,1199.8118668339448,0.005192773224507619,24,1002,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,202,1002,rl_sboed_eig,512,512,1,one deterministic design per held-out system,6.8488528563876585,0.21797362797075145,6.829971854156559,6.867733858618758,2.361980739980936,1039.950719287037,1039.950719287037,0.004613243632775266,29,1002,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,202,1002,step_dad,512,512,1,one deterministic design per held-out system,6.835820841918583,0.24565224809114097,6.814542301539809,6.857099382297356,3161.6945108779473,1199.8118668339448,1199.8118668339448,6.175184591558491,103,1002,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
